Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
01/08/2015 09:00:00 AM,179,178,1
01/08/2015 10:00:00 AM,73,73,0
01/08/2015 11:00:00 AM,44,42,2
01/08/2015 12:00:00 PM,63,63,0
01/08/2015 01:00:00 PM,75,75,0
01/08/2015 02:00:00 PM,75,59,16
01/08/2015 03:00:00 PM,128,63,65
01/08/2015 04:00:00 PM,182,72,110
01/08/2015 05:00:00 PM,402,125,277
01/08/2015 06:00:00 PM,320,105,215
01/08/2015 07:00:00 PM,165,64,101
01/08/2015 08:00:00 PM,67,24,43
01/08/2015 09:00:00 PM,56,29,27
01/08/2015 10:00:00 PM,41,21,20
01/08/2015 11:00:00 PM,42,18,24
01/09/2015 12:00:00 AM,27,15,12
01/09/2015 01:00:00 AM,16,16,0
01/09/2015 02:00:00 AM,1,0,1
01/09/2015 03:00:00 AM,2,1,1
01/09/2015 04:00:00 AM,9,7,2
01/09/2015 05:00:00 AM,23,15,8
01/09/2015 06:00:00 AM,87,58,29
01/09/2015 07:00:00 AM,218,159,59
01/09/2015 08:00:00 AM,345,262,83
01/09/2015 09:00:00 AM,224,149,75
01/09/2015 10:00:00 AM,93,66,27
01/09/2015 11:00:00 AM,47,30,17
01/09/2015 12:00:00 PM,59,31,28
01/09/2015 01:00:00 PM,56,29,27
01/09/2015 02:00:00 PM,83,50,33
01/09/2015 03:00:00 PM,101,45,56
01/09/2015 04:00:00 PM,223,97,126
01/09/2015 05:00:00 PM,373,101,272
01/09/2015 06:00:00 PM,264,91,173
01/09/2015 07:00:00 PM,106,39,67
01/09/2015 08:00:00 PM,46,18,28
01/09/2015 09:00:00 PM,38,15,23
01/09/2015 10:00:00 PM,35,22,13
01/09/2015 11:00:00 PM,14,10,4
01/10/2015 12:00:00 AM,4,3,1
01/10/2015 01:00:00 AM,3,2,1
01/10/2015 02:00:00 AM,5,0,5
01/10/2015 03:00:00 AM,0,0,0
01/10/2015 04:00:00 AM,0,0,0
01/10/2015 05:00:00 AM,8,5,3
01/10/2015 06:00:00 AM,16,5,11
01/10/2015 07:00:00 AM,12,7,5
01/10/2015 08:00:00 AM,51,24,27
01/10/2015 09:00:00 AM,52,33,19
01/10/2015 10:00:00 AM,51,37,14
01/10/2015 11:00:00 AM,53,22,31
01/10/2015 12:00:00 PM,82,39,43
01/10/2015 01:00:00 PM,60,20,40
01/10/2015 02:00:00 PM,76,47,29
01/10/2015 03:00:00 PM,45,21,24
01/10/2015 04:00:00 PM,63,31,32
01/10/2015 05:00:00 PM,44,20,24
01/10/2015 06:00:00 PM,30,18,12
01/10/2015 07:00:00 PM,28,17,11
01/10/2015 08:00:00 PM,28,10,18
01/10/2015 09:00:00 PM,29,14,15
01/10/2015 10:00:00 PM,18,7,11
01/10/2015 11:00:00 PM,13,7,6
01/11/2015 12:00:00 AM,1,0,1
01/11/2015 01:00:00 AM,3,1,2
01/11/2015 02:00:00 AM,4,3,1
01/11/2015 03:00:00 AM,5,5,0
01/11/2015 04:00:00 AM,2,2,0
01/11/2015 05:00:00 AM,3,0,3
01/11/2015 06:00:00 AM,7,2,5
01/11/2015 07:00:00 AM,14,9,5
01/11/2015 08:00:00 AM,31,20,11
01/11/2015 09:00:00 AM,54,30,24
01/11/2015 10:00:00 AM,51,29,22
01/11/2015 11:00:00 AM,63,36,27
01/11/2015 12:00:00 PM,82,46,36
01/11/2015 01:00:00 PM,85,52,33
01/11/2015 02:00:00 PM,92,54,38
01/11/2015 03:00:00 PM,85,53,32
01/11/2015 04:00:00 PM,72,31,41
01/11/2015 05:00:00 PM,50,24,26
01/11/2015 06:00:00 PM,37,16,21
01/11/2015 07:00:00 PM,24,15,9
01/11/2015 08:00:00 PM,18,7,11
01/11/2015 09:00:00 PM,11,6,5
01/11/2015 10:00:00 PM,10,4,6
01/11/2015 11:00:00 PM,6,3,3
01/12/2015 12:00:00 AM,6,4,2
01/12/2015 01:00:00 AM,1,1,0
01/12/2015 02:00:00 AM,1,1,0
01/12/2015 03:00:00 AM,7,5,2
01/12/2015 04:00:00 AM,2,2,0
01/12/2015 05:00:00 AM,32,25,7
01/12/2015 06:00:00 AM,105,68,37
01/12/2015 07:00:00 AM,234,221,13
01/12/2015 08:00:00 AM,367,367,0
01/12/2015 09:00:00 AM,193,192,1
01/12/2015 10:00:00 AM,76,76,0
01/12/2015 11:00:00 AM,51,51,0
01/12/2015 12:00:00 PM,52,52,0
01/12/2015 01:00:00 PM,70,69,1
01/12/2015 02:00:00 PM,82,82,0
01/12/2015 03:00:00 PM,114,50,64
01/12/2015 04:00:00 PM,224,93,131
01/12/2015 05:00:00 PM,423,117,306
01/12/2015 06:00:00 PM,336,118,218
01/12/2015 07:00:00 PM,134,43,91
01/12/2015 08:00:00 PM,58,23,35
01/12/2015 09:00:00 PM,56,15,41
01/12/2015 10:00:00 PM,25,13,12
01/12/2015 11:00:00 PM,21,10,11
01/13/2015 12:00:00 AM,5,3,2
01/13/2015 01:00:00 AM,7,5,2
01/13/2015 02:00:00 AM,3,1,2
01/13/2015 03:00:00 AM,6,3,3
01/13/2015 04:00:00 AM,2,1,1
01/13/2015 05:00:00 AM,35,25,10
01/13/2015 06:00:00 AM,119,80,39
01/13/2015 07:00:00 AM,230,223,7
01/13/2015 08:00:00 AM,374,374,0
01/13/2015 09:00:00 AM,197,197,0
01/13/2015 10:00:00 AM,89,89,0
01/13/2015 11:00:00 AM,64,64,0
01/13/2015 12:00:00 PM,71,71,0
01/13/2015 01:00:00 PM,55,55,0
01/13/2015 02:00:00 PM,80,78,2
01/13/2015 03:00:00 PM,121,66,55
01/13/2015 04:00:00 PM,219,92,127
01/13/2015 05:00:00 PM,427,138,289
01/13/2015 06:00:00 PM,356,98,258
01/13/2015 07:00:00 PM,164,55,109
01/13/2015 08:00:00 PM,65,13,52
01/13/2015 09:00:00 PM,50,19,31
01/13/2015 10:00:00 PM,16,2,14
01/13/2015 11:00:00 PM,11,5,6
01/14/2015 12:00:00 AM,7,3,4
01/14/2015 01:00:00 AM,5,3,2
01/14/2015 02:00:00 AM,2,1,1
01/14/2015 03:00:00 AM,5,2,3
01/14/2015 04:00:00 AM,8,5,3
01/14/2015 05:00:00 AM,32,26,6
01/14/2015 06:00:00 AM,101,64,37
01/14/2015 07:00:00 AM,222,209,13
01/14/2015 08:00:00 AM,326,325,1
01/14/2015 09:00:00 AM,167,166,1
01/14/2015 10:00:00 AM,79,79,0
01/14/2015 11:00:00 AM,50,50,0
01/14/2015 12:00:00 PM,53,53,0
01/14/2015 01:00:00 PM,67,67,0
01/14/2015 02:00:00 PM,81,69,12
01/14/2015 03:00:00 PM,127,75,52
01/14/2015 04:00:00 PM,211,89,122
01/14/2015 05:00:00 PM,447,132,315
01/14/2015 06:00:00 PM,307,82,225
01/14/2015 07:00:00 PM,149,47,102
01/14/2015 08:00:00 PM,78,28,50
01/14/2015 09:00:00 PM,59,24,35
01/14/2015 10:00:00 PM,21,12,9
01/14/2015 11:00:00 PM,19,6,13
01/15/2015 12:00:00 AM,7,2,5
01/15/2015 01:00:00 AM,2,2,0
01/15/2015 02:00:00 AM,2,0,2
01/15/2015 03:00:00 AM,3,2,1
01/15/2015 04:00:00 AM,5,3,2
01/15/2015 05:00:00 AM,21,17,4
01/15/2015 06:00:00 AM,86,53,33
01/15/2015 07:00:00 AM,163,152,11
01/15/2015 08:00:00 AM,284,283,1
01/15/2015 09:00:00 AM,132,132,0
01/15/2015 10:00:00 AM,64,64,0
01/15/2015 11:00:00 AM,46,46,0
01/15/2015 12:00:00 PM,41,41,0
01/15/2015 01:00:00 PM,39,39,0
01/15/2015 02:00:00 PM,34,32,2
01/15/2015 03:00:00 PM,66,33,33
01/15/2015 04:00:00 PM,144,59,85
01/15/2015 05:00:00 PM,313,87,226
01/15/2015 06:00:00 PM,238,100,138
01/15/2015 07:00:00 PM,98,25,73
01/15/2015 08:00:00 PM,50,14,36
01/15/2015 09:00:00 PM,38,21,17
01/15/2015 10:00:00 PM,15,2,13
01/15/2015 11:00:00 PM,7,4,3
01/16/2015 12:00:00 AM,5,1,4
01/16/2015 01:00:00 AM,4,3,1
01/16/2015 02:00:00 AM,3,3,0
01/16/2015 03:00:00 AM,2,1,1
01/16/2015 04:00:00 AM,4,2,2
01/16/2015 05:00:00 AM,19,16,3
01/16/2015 06:00:00 AM,74,52,22
01/16/2015 07:00:00 AM,141,129,12
01/16/2015 08:00:00 AM,230,228,2
01/16/2015 09:00:00 AM,161,161,0
01/16/2015 10:00:00 AM,61,61,0
01/16/2015 11:00:00 AM,57,57,0
01/16/2015 12:00:00 PM,56,52,4
01/16/2015 01:00:00 PM,76,51,25
01/16/2015 02:00:00 PM,88,50,38
01/16/2015 03:00:00 PM,136,63,73
01/16/2015 04:00:00 PM,219,102,117
01/16/2015 05:00:00 PM,335,90,245
01/16/2015 06:00:00 PM,239,83,156
01/16/2015 07:00:00 PM,101,43,58
01/16/2015 08:00:00 PM,56,19,37
01/16/2015 09:00:00 PM,32,17,15
01/16/2015 10:00:00 PM,25,12,13
01/16/2015 11:00:00 PM,18,10,8
01/17/2015 12:00:00 AM,17,4,13
01/17/2015 01:00:00 AM,9,7,2
01/17/2015 02:00:00 AM,6,3,3
01/17/2015 03:00:00 AM,3,2,1
01/17/2015 04:00:00 AM,3,1,2
01/17/2015 05:00:00 AM,3,1,2
01/17/2015 06:00:00 AM,14,8,6
01/17/2015 07:00:00 AM,12,7,5
01/17/2015 08:00:00 AM,34,17,17
01/17/2015 09:00:00 AM,49,31,18
01/17/2015 10:00:00 AM,45,29,16
01/17/2015 11:00:00 AM,55,33,22
01/17/2015 12:00:00 PM,52,25,27
01/17/2015 01:00:00 PM,57,36,21
01/17/2015 02:00:00 PM,45,27,18
01/17/2015 03:00:00 PM,44,27,17
01/17/2015 04:00:00 PM,43,25,18
01/17/2015 05:00:00 PM,35,13,22
01/17/2015 06:00:00 PM,20,7,13
01/17/2015 07:00:00 PM,12,5,7
01/17/2015 08:00:00 PM,8,2,6
01/17/2015 09:00:00 PM,14,5,9
01/17/2015 10:00:00 PM,5,1,4
01/17/2015 11:00:00 PM,7,2,5
01/18/2015 12:00:00 AM,9,4,5
01/18/2015 01:00:00 AM,3,0,3
01/18/2015 02:00:00 AM,7,4,3
01/18/2015 03:00:00 AM,1,1,0
01/18/2015 04:00:00 AM,2,2,0
01/18/2015 05:00:00 AM,5,3,2
01/18/2015 06:00:00 AM,5,2,3
01/18/2015 07:00:00 AM,11,7,4
01/18/2015 08:00:00 AM,24,14,10
01/18/2015 09:00:00 AM,31,24,7
01/18/2015 10:00:00 AM,26,17,9
01/18/2015 11:00:00 AM,40,25,15
01/18/2015 12:00:00 PM,39,19,20
01/18/2015 01:00:00 PM,28,13,15
01/18/2015 02:00:00 PM,30,19,11
01/18/2015 03:00:00 PM,23,10,13
01/18/2015 04:00:00 PM,47,30,17
01/18/2015 05:00:00 PM,53,26,27
01/18/2015 06:00:00 PM,22,13,9
01/18/2015 07:00:00 PM,24,6,18
01/18/2015 08:00:00 PM,13,3,10
01/18/2015 09:00:00 PM,14,3,11
01/18/2015 10:00:00 PM,6,1,5
01/18/2015 11:00:00 PM,8,3,5
01/19/2015 12:00:00 AM,6,3,3
01/19/2015 01:00:00 AM,2,1,1
01/19/2015 02:00:00 AM,2,1,1
01/19/2015 03:00:00 AM,4,3,1
01/19/2015 04:00:00 AM,3,2,1
01/19/2015 05:00:00 AM,22,16,6
01/19/2015 06:00:00 AM,58,38,20
01/19/2015 07:00:00 AM,118,92,26
01/19/2015 08:00:00 AM,220,161,59
01/19/2015 09:00:00 AM,170,118,52
01/19/2015 10:00:00 AM,81,54,27
01/19/2015 11:00:00 AM,93,66,27
01/19/2015 12:00:00 PM,75,40,35
01/19/2015 01:00:00 PM,89,55,34
01/19/2015 02:00:00 PM,111,62,49
01/19/2015 03:00:00 PM,142,68,74
01/19/2015 04:00:00 PM,168,73,95
01/19/2015 05:00:00 PM,246,73,173
01/19/2015 06:00:00 PM,187,50,137
01/19/2015 07:00:00 PM,83,29,54
01/19/2015 08:00:00 PM,51,18,33
01/19/2015 09:00:00 PM,26,15,11
01/19/2015 10:00:00 PM,11,4,7
01/19/2015 11:00:00 PM,14,7,7
01/20/2015 12:00:00 AM,11,3,8
01/20/2015 01:00:00 AM,2,0,2
01/20/2015 02:00:00 AM,3,0,3
01/20/2015 03:00:00 AM,2,1,1
01/20/2015 04:00:00 AM,6,4,2
01/20/2015 05:00:00 AM,37,25,12
01/20/2015 06:00:00 AM,99,61,38
01/20/2015 07:00:00 AM,254,243,11
01/20/2015 08:00:00 AM,387,317,70
01/20/2015 09:00:00 AM,249,170,79
01/20/2015 10:00:00 AM,99,71,28
01/20/2015 11:00:00 AM,66,39,27
01/20/2015 12:00:00 PM,76,44,32
01/20/2015 01:00:00 PM,89,55,34
01/20/2015 02:00:00 PM,103,52,51
01/20/2015 03:00:00 PM,137,60,77
01/20/2015 04:00:00 PM,223,95,128
01/20/2015 05:00:00 PM,444,133,311
01/20/2015 06:00:00 PM,367,112,255
01/20/2015 07:00:00 PM,146,53,93
01/20/2015 08:00:00 PM,50,16,34
01/20/2015 09:00:00 PM,39,20,19
01/20/2015 10:00:00 PM,21,10,11
01/20/2015 11:00:00 PM,17,4,13
01/21/2015 12:00:00 AM,14,8,6
01/21/2015 01:00:00 AM,1,0,1
01/21/2015 02:00:00 AM,3,2,1
01/21/2015 03:00:00 AM,2,2,0
01/21/2015 04:00:00 AM,5,4,1
01/21/2015 05:00:00 AM,29,21,8
01/21/2015 06:00:00 AM,106,72,34
01/21/2015 07:00:00 AM,205,192,13
01/21/2015 08:00:00 AM,336,335,1
01/21/2015 09:00:00 AM,191,191,0
01/21/2015 10:00:00 AM,72,72,0
01/21/2015 11:00:00 AM,43,43,0
01/21/2015 12:00:00 PM,56,55,1
01/21/2015 01:00:00 PM,61,61,0
01/21/2015 02:00:00 PM,82,76,6
01/21/2015 03:00:00 PM,92,51,41
01/21/2015 04:00:00 PM,224,90,134
01/21/2015 05:00:00 PM,377,99,278
01/21/2015 06:00:00 PM,360,118,242
01/21/2015 07:00:00 PM,140,46,94
01/21/2015 08:00:00 PM,59,24,35
01/21/2015 09:00:00 PM,53,22,31
01/21/2015 10:00:00 PM,30,15,15
01/21/2015 11:00:00 PM,11,3,8
01/22/2015 12:00:00 AM,12,3,9
01/22/2015 01:00:00 AM,1,0,1
01/22/2015 02:00:00 AM,3,0,3
01/22/2015 03:00:00 AM,3,1,2
01/22/2015 04:00:00 AM,5,4,1
01/22/2015 05:00:00 AM,23,18,5
01/22/2015 06:00:00 AM,94,60,34
01/22/2015 07:00:00 AM,189,184,5
01/22/2015 08:00:00 AM,301,301,0
01/22/2015 09:00:00 AM,149,149,0
01/22/2015 10:00:00 AM,60,59,1
01/22/2015 11:00:00 AM,37,37,0
01/22/2015 12:00:00 PM,45,45,0
01/22/2015 01:00:00 PM,38,38,0
01/22/2015 02:00:00 PM,71,46,25
01/22/2015 03:00:00 PM,76,41,35
01/22/2015 04:00:00 PM,165,58,107
01/22/2015 05:00:00 PM,338,112,226
01/22/2015 06:00:00 PM,290,99,191
01/22/2015 07:00:00 PM,125,41,84
01/22/2015 08:00:00 PM,56,21,35
01/22/2015 09:00:00 PM,39,19,20
01/22/2015 10:00:00 PM,44,24,20
01/22/2015 11:00:00 PM,19,8,11
01/23/2015 12:00:00 AM,14,7,7
01/23/2015 01:00:00 AM,7,1,6
01/23/2015 02:00:00 AM,1,0,1
01/23/2015 03:00:00 AM,3,2,1
01/23/2015 04:00:00 AM,6,4,2
01/23/2015 05:00:00 AM,33,18,15
01/23/2015 06:00:00 AM,75,55,20
01/23/2015 07:00:00 AM,142,137,5
01/23/2015 08:00:00 AM,226,222,4
01/23/2015 09:00:00 AM,151,151,0
01/23/2015 10:00:00 AM,62,59,3
01/23/2015 11:00:00 AM,29,29,0
01/23/2015 12:00:00 PM,36,36,0
01/23/2015 01:00:00 PM,35,35,0
01/23/2015 02:00:00 PM,57,39,18
01/23/2015 03:00:00 PM,72,34,38
01/23/2015 04:00:00 PM,137,56,81
01/23/2015 05:00:00 PM,310,107,203
01/23/2015 06:00:00 PM,199,60,139
01/23/2015 07:00:00 PM,85,31,54
01/23/2015 08:00:00 PM,36,10,26
01/23/2015 09:00:00 PM,20,7,13
01/23/2015 10:00:00 PM,24,7,17
01/23/2015 11:00:00 PM,17,7,10
01/24/2015 12:00:00 AM,14,6,8
01/24/2015 01:00:00 AM,5,3,2
01/24/2015 02:00:00 AM,4,3,1
01/24/2015 03:00:00 AM,3,2,1
01/24/2015 04:00:00 AM,2,1,1
01/24/2015 05:00:00 AM,6,2,4
01/24/2015 06:00:00 AM,16,7,9
01/24/2015 07:00:00 AM,16,10,6
01/24/2015 08:00:00 AM,51,26,25
01/24/2015 09:00:00 AM,44,30,14
01/24/2015 10:00:00 AM,74,50,24
01/24/2015 11:00:00 AM,88,51,37
01/24/2015 12:00:00 PM,108,58,50
01/24/2015 01:00:00 PM,106,64,42
01/24/2015 02:00:00 PM,112,67,45
01/24/2015 03:00:00 PM,112,72,40
01/24/2015 04:00:00 PM,115,53,62
01/24/2015 05:00:00 PM,79,48,31
01/24/2015 06:00:00 PM,57,29,28
01/24/2015 07:00:00 PM,47,26,21
01/24/2015 08:00:00 PM,26,15,11
01/24/2015 09:00:00 PM,27,9,18
01/24/2015 10:00:00 PM,30,13,17
01/24/2015 11:00:00 PM,21,7,14
01/25/2015 12:00:00 AM,22,8,14
01/25/2015 01:00:00 AM,11,9,2
01/25/2015 02:00:00 AM,2,2,0
01/25/2015 03:00:00 AM,0,0,0
01/25/2015 04:00:00 AM,5,3,2
01/25/2015 05:00:00 AM,5,2,3
01/25/2015 06:00:00 AM,6,4,2
01/25/2015 07:00:00 AM,15,5,10
01/25/2015 08:00:00 AM,70,53,17
01/25/2015 09:00:00 AM,67,30,37
01/25/2015 10:00:00 AM,127,83,44
01/25/2015 11:00:00 AM,177,117,60
01/25/2015 12:00:00 PM,219,136,83
01/25/2015 01:00:00 PM,272,160,112
01/25/2015 02:00:00 PM,333,214,119
01/25/2015 03:00:00 PM,268,135,133
01/25/2015 04:00:00 PM,217,121,96
01/25/2015 05:00:00 PM,172,97,75
01/25/2015 06:00:00 PM,60,28,32
01/25/2015 07:00:00 PM,34,19,15
01/25/2015 08:00:00 PM,23,13,10
01/25/2015 09:00:00 PM,17,10,7
01/25/2015 10:00:00 PM,17,8,9
01/25/2015 11:00:00 PM,16,5,11
01/26/2015 12:00:00 AM,10,5,5
01/26/2015 01:00:00 AM,0,0,0
01/26/2015 02:00:00 AM,3,1,2
01/26/2015 03:00:00 AM,4,3,1
01/26/2015 04:00:00 AM,8,6,2
01/26/2015 05:00:00 AM,35,24,11
01/26/2015 06:00:00 AM,114,79,35
01/26/2015 07:00:00 AM,239,231,8
01/26/2015 08:00:00 AM,394,394,0
01/26/2015 09:00:00 AM,230,230,0
01/26/2015 10:00:00 AM,95,95,0
01/26/2015 11:00:00 AM,69,69,0
01/26/2015 12:00:00 PM,59,59,0
01/26/2015 01:00:00 PM,92,92,0
01/26/2015 02:00:00 PM,93,93,0
01/26/2015 03:00:00 PM,176,98,78
01/26/2015 04:00:00 PM,293,141,152
01/26/2015 05:00:00 PM,515,153,362
01/26/2015 06:00:00 PM,378,131,247
01/26/2015 07:00:00 PM,163,60,103
01/26/2015 08:00:00 PM,80,31,49
01/26/2015 09:00:00 PM,57,23,34
01/26/2015 10:00:00 PM,35,17,18
01/26/2015 11:00:00 PM,17,3,14
01/27/2015 12:00:00 AM,7,1,6
01/27/2015 01:00:00 AM,4,3,1
01/27/2015 02:00:00 AM,5,5,0
01/27/2015 03:00:00 AM,1,1,0
01/27/2015 04:00:00 AM,6,4,2
01/27/2015 05:00:00 AM,35,25,10
01/27/2015 06:00:00 AM,112,68,44
01/27/2015 07:00:00 AM,239,229,10
01/27/2015 08:00:00 AM,361,361,0
01/27/2015 09:00:00 AM,202,202,0
01/27/2015 10:00:00 AM,62,62,0
01/27/2015 11:00:00 AM,40,40,0
01/27/2015 12:00:00 PM,54,54,0
01/27/2015 01:00:00 PM,39,29,10
01/27/2015 02:00:00 PM,74,36,38
01/27/2015 03:00:00 PM,106,52,54
01/27/2015 04:00:00 PM,208,76,132
01/27/2015 05:00:00 PM,403,126,277
01/27/2015 06:00:00 PM,322,90,232
01/27/2015 07:00:00 PM,134,45,89
01/27/2015 08:00:00 PM,68,21,47
01/27/2015 09:00:00 PM,38,17,21
01/27/2015 10:00:00 PM,22,6,16
01/27/2015 11:00:00 PM,21,8,13
01/28/2015 12:00:00 AM,10,4,6
01/28/2015 01:00:00 AM,5,1,4
01/28/2015 02:00:00 AM,3,2,1
01/28/2015 03:00:00 AM,1,1,0
01/28/2015 04:00:00 AM,3,1,2
01/28/2015 05:00:00 AM,28,23,5
01/28/2015 06:00:00 AM,94,63,31
01/28/2015 07:00:00 AM,268,217,51
01/28/2015 08:00:00 AM,417,320,97
01/28/2015 09:00:00 AM,246,172,74
01/28/2015 10:00:00 AM,95,66,29
01/28/2015 11:00:00 AM,62,38,24
01/28/2015 12:00:00 PM,65,39,26
01/28/2015 01:00:00 PM,80,44,36
01/28/2015 02:00:00 PM,104,50,54
01/28/2015 03:00:00 PM,107,53,54
01/28/2015 04:00:00 PM,219,95,124
01/28/2015 05:00:00 PM,504,156,348
01/28/2015 06:00:00 PM,335,103,232
01/28/2015 07:00:00 PM,144,54,90
01/28/2015 08:00:00 PM,72,29,43
01/28/2015 09:00:00 PM,51,19,32
01/28/2015 10:00:00 PM,32,18,14
01/28/2015 11:00:00 PM,18,4,14
01/29/2015 12:00:00 AM,6,1,5
01/29/2015 01:00:00 AM,5,3,2
01/29/2015 02:00:00 AM,3,2,1
01/29/2015 03:00:00 AM,1,1,0
01/29/2015 04:00:00 AM,5,3,2
01/29/2015 05:00:00 AM,36,25,11
01/29/2015 06:00:00 AM,90,62,28
01/29/2015 07:00:00 AM,263,201,62
01/29/2015 08:00:00 AM,442,323,119
01/29/2015 09:00:00 AM,251,173,78
01/29/2015 10:00:00 AM,100,72,28
01/29/2015 11:00:00 AM,76,51,25
01/29/2015 12:00:00 PM,62,35,27
01/29/2015 01:00:00 PM,98,51,47
01/29/2015 02:00:00 PM,102,48,54
01/29/2015 03:00:00 PM,127,66,61
01/29/2015 04:00:00 PM,251,95,156
01/29/2015 05:00:00 PM,468,143,325
01/29/2015 06:00:00 PM,351,119,232
01/29/2015 07:00:00 PM,138,47,91
01/29/2015 08:00:00 PM,72,22,50
01/29/2015 09:00:00 PM,52,26,26
01/29/2015 10:00:00 PM,29,17,12
01/29/2015 11:00:00 PM,33,21,12
01/30/2015 12:00:00 AM,11,4,7
01/30/2015 01:00:00 AM,10,7,3
01/30/2015 02:00:00 AM,10,6,4
01/30/2015 03:00:00 AM,3,2,1
01/30/2015 04:00:00 AM,4,1,3
01/30/2015 05:00:00 AM,26,19,7
01/30/2015 06:00:00 AM,86,59,27
01/30/2015 07:00:00 AM,238,179,59
01/30/2015 08:00:00 AM,339,254,85
01/30/2015 09:00:00 AM,217,133,84
01/30/2015 10:00:00 AM,90,59,31
01/30/2015 11:00:00 AM,66,47,19
01/30/2015 12:00:00 PM,80,47,33
01/30/2015 01:00:00 PM,83,43,40
01/30/2015 02:00:00 PM,112,55,57
01/30/2015 03:00:00 PM,155,72,83
01/30/2015 04:00:00 PM,245,97,148
01/30/2015 05:00:00 PM,342,102,240
01/30/2015 06:00:00 PM,287,91,196
01/30/2015 07:00:00 PM,87,32,55
01/30/2015 08:00:00 PM,47,18,29
01/30/2015 09:00:00 PM,30,12,18
01/30/2015 10:00:00 PM,22,11,11
01/30/2015 11:00:00 PM,22,13,9
01/31/2015 12:00:00 AM,17,8,9
01/31/2015 01:00:00 AM,3,2,1
01/31/2015 02:00:00 AM,4,2,2
01/31/2015 03:00:00 AM,2,2,0
01/31/2015 04:00:00 AM,3,2,1
01/31/2015 05:00:00 AM,2,0,2
01/31/2015 06:00:00 AM,15,5,10
01/31/2015 07:00:00 AM,19,11,8
01/31/2015 08:00:00 AM,47,28,19
01/31/2015 09:00:00 AM,84,46,38
01/31/2015 10:00:00 AM,72,44,28
01/31/2015 11:00:00 AM,81,46,35
01/31/2015 12:00:00 PM,113,65,48
01/31/2015 01:00:00 PM,148,81,67
01/31/2015 02:00:00 PM,135,69,66
01/31/2015 03:00:00 PM,126,68,58
01/31/2015 04:00:00 PM,137,76,61
01/31/2015 05:00:00 PM,81,39,42
01/31/2015 06:00:00 PM,46,26,20
01/31/2015 07:00:00 PM,18,10,8
01/31/2015 08:00:00 PM,25,8,17
01/31/2015 09:00:00 PM,21,8,13
01/31/2015 10:00:00 PM,20,6,14
01/31/2015 11:00:00 PM,17,11,6
02/01/2015 12:00:00 AM,18,9,9
02/01/2015 01:00:00 AM,6,1,5
02/01/2015 02:00:00 AM,1,0,1
02/01/2015 03:00:00 AM,0,0,0
02/01/2015 04:00:00 AM,3,1,2
02/01/2015 05:00:00 AM,2,1,1
02/01/2015 06:00:00 AM,5,3,2
02/01/2015 07:00:00 AM,22,16,6
02/01/2015 08:00:00 AM,32,18,14
02/01/2015 09:00:00 AM,70,40,30
02/01/2015 10:00:00 AM,64,36,28
02/01/2015 11:00:00 AM,66,43,23
02/01/2015 12:00:00 PM,89,44,45
02/01/2015 01:00:00 PM,56,37,19
02/01/2015 02:00:00 PM,73,47,26
02/01/2015 03:00:00 PM,47,23,24
02/01/2015 04:00:00 PM,23,10,13
02/01/2015 05:00:00 PM,16,11,5
02/01/2015 06:00:00 PM,14,4,10
02/01/2015 07:00:00 PM,33,15,18
02/01/2015 08:00:00 PM,37,17,20
02/01/2015 09:00:00 PM,16,10,6
02/01/2015 10:00:00 PM,11,2,9
02/01/2015 11:00:00 PM,4,2,2
02/02/2015 12:00:00 AM,5,3,2
02/02/2015 01:00:00 AM,2,0,2
02/02/2015 02:00:00 AM,4,2,2
02/02/2015 03:00:00 AM,1,0,1
02/02/2015 04:00:00 AM,5,2,3
02/02/2015 05:00:00 AM,30,23,7
02/02/2015 06:00:00 AM,95,62,33
02/02/2015 07:00:00 AM,185,172,13
02/02/2015 08:00:00 AM,257,256,1
02/02/2015 09:00:00 AM,121,121,0
02/02/2015 10:00:00 AM,77,77,0
02/02/2015 11:00:00 AM,26,26,0
02/02/2015 12:00:00 PM,24,15,9
02/02/2015 01:00:00 PM,50,23,27
02/02/2015 02:00:00 PM,52,24,28
02/02/2015 03:00:00 PM,82,39,43
02/02/2015 04:00:00 PM,167,72,95
02/02/2015 05:00:00 PM,296,91,205
02/02/2015 06:00:00 PM,241,77,164
02/02/2015 07:00:00 PM,90,34,56
02/02/2015 08:00:00 PM,44,19,25
02/02/2015 09:00:00 PM,26,6,20
02/02/2015 10:00:00 PM,11,4,7
02/02/2015 11:00:00 PM,13,5,8
02/03/2015 12:00:00 AM,6,2,4
02/03/2015 01:00:00 AM,6,2,4
02/03/2015 02:00:00 AM,3,1,2
02/03/2015 03:00:00 AM,4,2,2
02/03/2015 04:00:00 AM,3,1,2
02/03/2015 05:00:00 AM,34,22,12
02/03/2015 06:00:00 AM,103,70,33
02/03/2015 07:00:00 AM,194,181,13
02/03/2015 08:00:00 AM,312,312,0
02/03/2015 09:00:00 AM,161,160,1
02/03/2015 10:00:00 AM,58,58,0
02/03/2015 11:00:00 AM,55,55,0
02/03/2015 12:00:00 PM,48,48,0
02/03/2015 01:00:00 PM,37,37,0
02/03/2015 02:00:00 PM,44,44,0
02/03/2015 03:00:00 PM,75,41,34
02/03/2015 04:00:00 PM,172,65,107
02/03/2015 05:00:00 PM,366,111,255
02/03/2015 06:00:00 PM,362,101,261
